event_id,timestamp,usuario,tipo_evento,status
EVT-1061,2026-05-07 17:35:20,araujoluiz-otavio,ALTERACAO_DADOS,FALHA
EVT-1062,2026-04-22 21:31:20,pietro03,LOGIN,SUCESSO
EVT-1063,2026-05-12 11:18:20,matheus26,DOWNLOAD,SUCESSO
EVT-1064,2026-05-13 13:21:20,luiza22,PAGAMENTO,PENDENTE
EVT-1065,2026-05-08 18:17:20,moraesjoaquim,UPLOAD,PENDENTE
EVT-1066,2026-04-23 22:58:20,rvieira,ERRO_API,PENDENTE
EVT-1067,2026-04-26 22:48:20,stephany50,ALTERACAO_DADOS,PENDENTE
EVT-1068,2026-05-08 04:10:20,jalmeida,CADASTRO,FALHA
EVT-1069,2026-04-16 14:18:20,ianrocha,UPLOAD,SUCESSO
EVT-1070,2026-04-18 22:22:20,vitor-gabriel28,UPLOAD,FALHA
EVT-1071,2026-05-10 07:27:20,nascimentojoao-guilherme,DOWNLOAD,FALHA
EVT-1072,2026-04-14 16:53:20,carvalhovitor,LOGIN,FALHA
EVT-1073,2026-04-28 05:32:20,ecorreia,PAGAMENTO,SUCESSO
EVT-1074,2026-04-28 09:53:20,ksilveira,LOGIN,SUCESSO
EVT-1075,2026-04-09 15:56:20,joao-vitor01,ERRO_API,FALHA
EVT-1076,2026-04-29 07:51:20,maite65,ALTERACAO_DADOS,SUCESSO
EVT-1077,2026-04-09 12:33:20,peixotolorena,LOGOUT,FALHA
EVT-1078,2026-04-11 03:49:20,gomesfrancisco,ALTERACAO_DADOS,FALHA
EVT-1079,2026-04-17 19:34:20,ramosemilly,PAGAMENTO,SUCESSO
EVT-1080,2026-04-13 13:34:20,enrico17,ERRO_API,FALHA
EVT-1081,2026-05-11 13:06:20,davi-lucca54,CADASTRO,SUCESSO
EVT-1082,2026-04-29 09:42:20,antonio38,COMPRA,SUCESSO
EVT-1083,2026-04-24 10:23:20,walmeida,UPLOAD,PENDENTE
EVT-1084,2026-05-09 11:21:20,caroline14,UPLOAD,PENDENTE
EVT-1085,2026-04-30 22:03:20,maiterezende,LOGIN,FALHA
EVT-1086,2026-04-15 00:22:20,olivia19,DOWNLOAD,FALHA
EVT-1087,2026-04-18 13:33:20,milenacardoso,RESET_SENHA,PENDENTE
EVT-1088,2026-04-15 10:05:20,scardoso,PAGAMENTO,FALHA
EVT-1089,2026-04-27 19:08:20,bfarias,RESET_SENHA,SUCESSO
EVT-1090,2026-04-20 16:21:20,tda-costa,LOGOUT,PENDENTE
EVT-1091,2026-05-13 03:00:20,matheus70,UPLOAD,FALHA
EVT-1092,2026-05-13 02:14:20,mourarafaela,CADASTRO,PENDENTE
EVT-1093,2026-04-16 12:42:20,joao46,LOGOUT,FALHA
EVT-1094,2026-04-21 17:11:20,mouradaniela,LOGOUT,SUCESSO
EVT-1095,2026-05-11 08:41:20,pedro-henriquecavalcanti,COMPRA,PENDENTE
EVT-1096,2026-05-12 11:40:20,maitecaldeira,DOWNLOAD,PENDENTE
EVT-1097,2026-04-24 14:19:20,luizada-paz,DOWNLOAD,PENDENTE
EVT-1098,2026-05-09 00:23:20,correiarafael,RESET_SENHA,FALHA
EVT-1099,2026-04-21 20:03:20,mouraarthur,LOGOUT,SUCESSO
EVT-1100,2026-04-28 07:33:20,gmartins,COMPRA,PENDENTE
EVT-1101,2026-05-08 08:01:20,limaana-julia,DOWNLOAD,FALHA
EVT-1102,2026-04-22 09:48:20,diasaugusto,LOGIN,FALHA
EVT-1103,2026-04-25 17:18:20,da-conceicaotheo,RESET_SENHA,SUCESSO
EVT-1104,2026-04-13 22:29:20,clarice68,LOGOUT,SUCESSO
EVT-1105,2026-04-20 05:45:20,fernandesyuri,COMPRA,FALHA
EVT-1106,2026-04-16 04:36:20,noliveira,CADASTRO,FALHA
EVT-1107,2026-04-22 16:36:20,luizapereira,RESET_SENHA,SUCESSO
EVT-1108,2026-05-03 15:23:20,waraujo,ERRO_API,FALHA
EVT-1109,2026-05-12 17:40:20,isadoraviana,UPLOAD,SUCESSO
EVT-1110,2026-04-24 00:08:20,tcarvalho,CADASTRO,SUCESSO
EVT-1111,2026-04-27 08:11:20,zsouza,UPLOAD,SUCESSO
EVT-1112,2026-04-10 12:17:20,lorena33,LOGIN,SUCESSO
EVT-1113,2026-05-07 12:04:20,nina97,ERRO_API,FALHA
EVT-1114,2026-04-23 04:36:20,yaragao,LOGOUT,PENDENTE
EVT-1115,2026-04-17 14:11:20,silveirabernardo,COMPRA,PENDENTE
EVT-1116,2026-04-23 11:16:20,pedro-miguelnunes,UPLOAD,SUCESSO
EVT-1117,2026-04-19 08:16:20,isisda-luz,PAGAMENTO,FALHA
EVT-1118,2026-05-13 06:02:20,anthonyramos,UPLOAD,FALHA
EVT-1119,2026-04-13 02:29:20,almeidajoaquim,ALTERACAO_DADOS,FALHA
EVT-1120,2026-04-27 10:08:20,anapeixoto,ALTERACAO_DADOS,SUCESSO
EVT-1121,2026-04-17 15:30:20,nascimentoluiz-gustavo,LOGIN,FALHA
EVT-1122,2026-05-11 23:42:20,peixotolucca,CADASTRO,PENDENTE
EVT-1123,2026-05-04 03:28:20,ana-juliamartins,UPLOAD,FALHA
EVT-1124,2026-05-12 20:10:20,bryancardoso,LOGIN,SUCESSO
EVT-1125,2026-04-21 02:03:20,claricefreitas,LOGOUT,SUCESSO
EVT-1126,2026-04-19 16:51:20,gcarvalho,RESET_SENHA,SUCESSO
EVT-1127,2026-05-05 12:10:20,ana-luizadas-neves,UPLOAD,FALHA
EVT-1128,2026-05-04 00:47:20,ecardoso,LOGOUT,PENDENTE
EVT-1129,2026-05-01 01:07:20,gomesdavi,LOGOUT,SUCESSO
EVT-1130,2026-04-20 14:40:20,lcostela,DOWNLOAD,FALHA
EVT-1131,2026-04-20 12:40:20,lda-conceicao,ALTERACAO_DADOS,PENDENTE
EVT-1132,2026-04-25 08:12:20,carvalhocaua,ALTERACAO_DADOS,FALHA
EVT-1133,2026-04-22 09:22:20,hda-paz,COMPRA,FALHA
EVT-1134,2026-05-11 19:22:20,camilarocha,UPLOAD,FALHA
EVT-1135,2026-04-18 16:15:20,osilveira,LOGIN,FALHA
EVT-1136,2026-04-24 09:10:20,isabella97,LOGIN,PENDENTE
EVT-1137,2026-04-16 13:15:20,da-luznatalia,DOWNLOAD,FALHA
EVT-1138,2026-05-10 18:00:20,lucasbarros,LOGIN,SUCESSO
EVT-1139,2026-04-17 11:48:20,joao42,PAGAMENTO,FALHA
EVT-1140,2026-04-26 08:10:20,theobarbosa,UPLOAD,SUCESSO
EVT-1141,2026-04-28 21:34:20,pietro93,ERRO_API,FALHA
EVT-1142,2026-04-27 11:34:20,salessarah,UPLOAD,FALHA
EVT-1143,2026-05-02 09:30:20,davi-luiz50,LOGOUT,FALHA
EVT-1144,2026-05-06 10:51:20,csales,DOWNLOAD,FALHA
EVT-1145,2026-04-16 17:46:20,maria-fernanda41,LOGOUT,SUCESSO
EVT-1146,2026-04-15 03:02:20,joaquimduarte,PAGAMENTO,PENDENTE
EVT-1147,2026-05-02 20:58:20,maria-clarafogaca,DOWNLOAD,PENDENTE
EVT-1148,2026-05-07 02:56:20,danielalopes,ERRO_API,SUCESSO
EVT-1149,2026-04-22 09:22:20,luiz-otaviorodrigues,UPLOAD,PENDENTE
EVT-1150,2026-05-13 02:27:20,icostela,RESET_SENHA,PENDENTE
EVT-1151,2026-05-02 16:10:20,otavioferreira,LOGIN,FALHA
EVT-1152,2026-04-29 20:59:20,fernando76,LOGOUT,PENDENTE
EVT-1153,2026-05-03 16:32:20,freitasluiz-fernando,ALTERACAO_DADOS,PENDENTE
EVT-1154,2026-05-11 04:02:20,ana-beatriznascimento,LOGIN,PENDENTE
EVT-1155,2026-04-28 14:15:20,cunhafernando,PAGAMENTO,PENDENTE
EVT-1156,2026-04-25 02:07:20,ana-vitoria22,CADASTRO,FALHA
EVT-1157,2026-04-14 18:56:20,ceciliamoura,ERRO_API,SUCESSO
EVT-1158,2026-04-25 17:31:20,ana-juliapinto,LOGIN,PENDENTE
EVT-1159,2026-05-09 00:42:20,stella50,ALTERACAO_DADOS,PENDENTE
EVT-1160,2026-04-10 08:16:20,ilopes,RESET_SENHA,FALHA
EVT-1161,2026-04-16 18:45:20,da-rochamaria-vitoria,CADASTRO,SUCESSO
EVT-1162,2026-05-13 08:50:20,nicolasfarias,DOWNLOAD,FALHA
EVT-1163,2026-04-30 07:15:20,gustavo33,CADASTRO,SUCESSO
EVT-1164,2026-04-19 15:42:20,cpeixoto,ERRO_API,SUCESSO
EVT-1165,2026-05-11 07:47:20,cardosojulia,PAGAMENTO,SUCESSO
EVT-1166,2026-05-02 23:29:20,ncardoso,ALTERACAO_DADOS,FALHA
EVT-1167,2026-04-15 08:29:20,leandromelo,ALTERACAO_DADOS,PENDENTE
EVT-1168,2026-05-08 19:00:20,luiz-fernando40,PAGAMENTO,FALHA
EVT-1169,2026-04-26 17:05:20,stellada-mata,RESET_SENHA,FALHA
EVT-1170,2026-04-23 16:52:20,isabellapinto,ALTERACAO_DADOS,SUCESSO
EVT-1171,2026-05-04 19:02:20,dramos,PAGAMENTO,FALHA
EVT-1172,2026-05-12 10:37:20,rochaeduardo,LOGIN,FALHA
EVT-1173,2026-05-06 06:06:20,eda-rosa,ERRO_API,SUCESSO
EVT-1174,2026-05-02 17:57:20,carvalholuigi,DOWNLOAD,FALHA
EVT-1175,2026-05-06 19:56:20,andre30,ERRO_API,SUCESSO
EVT-1176,2026-04-25 13:53:20,wcostela,DOWNLOAD,PENDENTE
EVT-1177,2026-05-07 01:10:20,arthuralmeida,ALTERACAO_DADOS,FALHA
EVT-1178,2026-05-03 14:15:20,gustavoda-conceicao,CADASTRO,FALHA
EVT-1179,2026-05-07 19:27:20,joaquimmoreira,LOGOUT,FALHA
EVT-1180,2026-04-26 06:59:20,maria-alice77,UPLOAD,FALHA
EVT-1181,2026-04-23 23:05:20,joao-vitormoreira,UPLOAD,PENDENTE
EVT-1182,2026-05-07 16:09:20,bvieira,RESET_SENHA,PENDENTE
EVT-1183,2026-04-26 07:43:20,vitor-hugo32,LOGIN,PENDENTE
EVT-1184,2026-05-09 04:52:20,pintoolivia,UPLOAD,FALHA
EVT-1185,2026-04-21 13:48:20,juliada-mota,ALTERACAO_DADOS,SUCESSO
EVT-1186,2026-04-26 17:11:20,efarias,ALTERACAO_DADOS,PENDENTE
EVT-1187,2026-05-05 21:32:20,rezendecarolina,UPLOAD,PENDENTE
EVT-1188,2026-05-07 07:04:20,pintopedro,LOGIN,FALHA
EVT-1189,2026-04-21 09:43:20,mendesgiovanna,CADASTRO,FALHA
EVT-1190,2026-05-08 04:12:20,luiz-fernandocardoso,ERRO_API,FALHA
EVT-1191,2026-04-15 03:57:20,vitor52,ALTERACAO_DADOS,SUCESSO
EVT-1192,2026-04-24 03:42:20,guilhermealves,UPLOAD,PENDENTE
EVT-1193,2026-05-02 15:56:20,araujobeatriz,UPLOAD,FALHA
EVT-1194,2026-04-10 15:03:20,caioda-cruz,ERRO_API,PENDENTE
EVT-1195,2026-04-20 11:20:20,leandro99,PAGAMENTO,FALHA
EVT-1196,2026-04-26 21:07:20,alvesvitor-gabriel,CADASTRO,FALHA
EVT-1197,2026-04-23 01:21:20,alexiada-luz,LOGOUT,SUCESSO
EVT-1198,2026-05-09 05:55:20,brenofreitas,CADASTRO,PENDENTE
EVT-1199,2026-04-16 02:43:20,yrodrigues,UPLOAD,PENDENTE
EVT-1200,2026-04-08 23:11:20,mirellada-conceicao,UPLOAD,SUCESSO
EVT-1201,2026-04-20 18:54:20,ana-lauramoreira,DOWNLOAD,SUCESSO
EVT-1202,2026-04-22 00:49:20,fporto,LOGOUT,SUCESSO
EVT-1203,2026-05-06 06:20:20,luiz-gustavoda-rocha,UPLOAD,PENDENTE
EVT-1204,2026-04-20 00:50:20,vitoria38,PAGAMENTO,PENDENTE
EVT-1205,2026-04-23 00:55:20,mendesjoao-felipe,UPLOAD,SUCESSO
EVT-1206,2026-05-13 12:50:20,laviniaaragao,RESET_SENHA,PENDENTE
EVT-1207,2026-05-04 12:11:20,gustavo-henrique79,CADASTRO,PENDENTE
EVT-1208,2026-04-26 11:02:20,duartethales,ERRO_API,SUCESSO
EVT-1209,2026-04-24 20:33:20,fcaldeira,LOGIN,PENDENTE
EVT-1210,2026-04-11 16:56:20,cavalcantiemanuel,UPLOAD,FALHA
EVT-1211,2026-04-30 15:20:20,silvadavi-luiz,RESET_SENHA,PENDENTE
EVT-1212,2026-04-09 18:23:20,souzajoao-miguel,ALTERACAO_DADOS,FALHA
EVT-1213,2026-04-28 01:50:20,alexia82,LOGIN,PENDENTE
EVT-1214,2026-04-17 05:25:20,pintovitoria,CADASTRO,SUCESSO
EVT-1215,2026-04-09 21:08:20,rochaevelyn,LOGIN,SUCESSO
EVT-1216,2026-04-16 13:01:20,almeidajoao-lucas,RESET_SENHA,PENDENTE
EVT-1217,2026-04-17 23:46:20,cauada-costa,RESET_SENHA,PENDENTE
EVT-1218,2026-05-11 18:57:20,xgoncalves,PAGAMENTO,FALHA
EVT-1219,2026-04-29 15:15:20,calebejesus,DOWNLOAD,FALHA
EVT-1220,2026-04-28 10:09:20,monteiroeloah,UPLOAD,FALHA
EVT-1221,2026-05-04 15:14:20,levi58,ERRO_API,PENDENTE
EVT-1222,2026-04-18 00:13:20,aliciasouza,COMPRA,SUCESSO
EVT-1223,2026-04-12 23:13:20,caiogomes,ALTERACAO_DADOS,FALHA
EVT-1224,2026-04-29 10:53:20,nascimentoeloah,UPLOAD,PENDENTE
EVT-1225,2026-04-25 11:46:20,silveirakaique,ERRO_API,SUCESSO
EVT-1226,2026-04-22 20:01:20,catarinaoliveira,UPLOAD,PENDENTE
EVT-1227,2026-04-10 12:13:20,beatriz27,LOGIN,PENDENTE
EVT-1228,2026-04-11 12:19:20,erick32,PAGAMENTO,FALHA
EVT-1229,2026-04-22 14:57:20,peixotoenzo-gabriel,ALTERACAO_DADOS,FALHA
EVT-1230,2026-04-17 18:18:20,stella82,COMPRA,PENDENTE
EVT-1231,2026-04-30 06:23:20,da-rosaluiz-gustavo,CADASTRO,PENDENTE
EVT-1232,2026-05-05 19:12:20,brunoda-conceicao,UPLOAD,SUCESSO
EVT-1233,2026-05-02 03:59:20,augustooliveira,DOWNLOAD,FALHA
EVT-1234,2026-05-08 23:34:20,antonionovaes,LOGIN,SUCESSO
EVT-1235,2026-04-14 22:51:20,luiz-otaviomelo,CADASTRO,PENDENTE
EVT-1236,2026-05-09 18:15:20,brenda38,PAGAMENTO,PENDENTE
EVT-1237,2026-04-27 12:36:20,luiz-gustavo64,CADASTRO,PENDENTE
EVT-1238,2026-05-12 00:53:20,bryan83,CADASTRO,PENDENTE
EVT-1239,2026-05-02 09:20:20,tda-mata,COMPRA,PENDENTE
EVT-1240,2026-05-01 23:57:20,emanuelsouza,PAGAMENTO,SUCESSO
EVT-1241,2026-04-30 03:02:20,alvescaua,CADASTRO,PENDENTE
EVT-1242,2026-05-02 13:29:20,maria-fernandarodrigues,LOGIN,SUCESSO
EVT-1243,2026-04-10 12:05:20,mourathomas,UPLOAD,PENDENTE
EVT-1244,2026-05-13 07:58:20,pereiravitor-gabriel,LOGOUT,PENDENTE
EVT-1245,2026-04-21 02:00:20,marianasouza,ALTERACAO_DADOS,FALHA
EVT-1246,2026-05-09 16:33:20,ualmeida,LOGOUT,SUCESSO
EVT-1247,2026-04-22 16:00:20,gustavopeixoto,DOWNLOAD,SUCESSO
EVT-1248,2026-05-11 16:29:20,dcarvalho,LOGOUT,PENDENTE
EVT-1249,2026-05-05 00:51:20,vitoria50,DOWNLOAD,SUCESSO
EVT-1250,2026-04-26 08:12:20,lucca20,CADASTRO,FALHA
EVT-1251,2026-05-11 12:28:20,tlopes,RESET_SENHA,SUCESSO
EVT-1252,2026-04-27 05:19:20,joaquimcavalcanti,UPLOAD,SUCESSO
EVT-1253,2026-04-12 19:14:20,jbarbosa,UPLOAD,SUCESSO
EVT-1254,2026-04-22 22:08:20,cunhamanuela,DOWNLOAD,FALHA
EVT-1255,2026-04-13 20:14:20,salesbruna,COMPRA,PENDENTE
EVT-1256,2026-04-19 20:13:20,smonteiro,LOGOUT,PENDENTE
EVT-1257,2026-05-11 00:18:20,cunhamelissa,ERRO_API,PENDENTE
EVT-1258,2026-05-04 19:48:20,limadavi,LOGOUT,SUCESSO
EVT-1259,2026-05-02 10:56:20,pietro33,DOWNLOAD,PENDENTE
EVT-1260,2026-05-07 00:53:20,ana-sophiajesus,CADASTRO,FALHA
EVT-1261,2026-04-12 23:26:20,maria-sophiasilveira,UPLOAD,SUCESSO
EVT-1262,2026-04-11 10:53:20,luiz-felipeda-mata,COMPRA,PENDENTE
EVT-1263,2026-04-09 21:57:20,barbosaisadora,UPLOAD,FALHA
EVT-1264,2026-04-29 18:25:20,zmoreira,PAGAMENTO,PENDENTE
EVT-1265,2026-04-23 07:28:20,pereirabenicio,CADASTRO,FALHA
EVT-1266,2026-05-11 17:04:20,ferreiraluiz-gustavo,DOWNLOAD,PENDENTE
EVT-1267,2026-04-26 17:55:20,emanuelly24,CADASTRO,FALHA
EVT-1268,2026-04-22 03:40:20,yasmin01,LOGOUT,FALHA
EVT-1269,2026-04-26 14:27:20,luccamendes,ERRO_API,FALHA
EVT-1270,2026-04-18 17:35:20,luigiaraujo,UPLOAD,SUCESSO
EVT-1271,2026-05-09 13:54:20,enzo11,ALTERACAO_DADOS,FALHA
EVT-1272,2026-05-06 04:35:20,bfarias,DOWNLOAD,PENDENTE
EVT-1273,2026-04-19 11:37:20,luiz-miguelgoncalves,RESET_SENHA,FALHA
EVT-1274,2026-04-24 17:02:20,mmendes,LOGOUT,FALHA
EVT-1275,2026-04-11 22:36:20,alopes,LOGIN,PENDENTE
EVT-1276,2026-05-11 04:04:20,bianca86,CADASTRO,FALHA
EVT-1277,2026-05-10 04:58:20,theovieira,ERRO_API,FALHA
EVT-1278,2026-05-07 12:10:20,catarinabarros,ERRO_API,SUCESSO
EVT-1279,2026-05-06 06:23:20,pietropires,COMPRA,PENDENTE
EVT-1280,2026-04-20 01:15:20,vitor-gabriel70,ERRO_API,PENDENTE
EVT-1281,2026-04-19 21:24:20,kaiquecunha,LOGIN,PENDENTE
EVT-1282,2026-04-27 15:40:20,silvabenjamin,RESET_SENHA,SUCESSO
EVT-1283,2026-05-03 21:50:20,alvessarah,CADASTRO,PENDENTE
EVT-1284,2026-05-06 05:55:20,nlopes,ALTERACAO_DADOS,FALHA
EVT-1285,2026-04-12 20:06:20,luiz-migueloliveira,ERRO_API,PENDENTE
EVT-1286,2026-05-06 12:42:20,ateixeira,PAGAMENTO,PENDENTE
EVT-1287,2026-04-23 17:18:20,mendesnicolas,LOGIN,FALHA
EVT-1288,2026-05-12 20:26:20,teixeiranatalia,LOGOUT,FALHA
EVT-1289,2026-04-26 17:41:20,rochajoao-miguel,ERRO_API,PENDENTE
EVT-1290,2026-04-26 23:44:20,joao-guilhermelopes,ALTERACAO_DADOS,PENDENTE
EVT-1291,2026-04-19 06:12:20,da-pazcarolina,RESET_SENHA,PENDENTE
EVT-1292,2026-05-07 02:00:20,joao-vitorda-cruz,CADASTRO,FALHA
EVT-1293,2026-05-09 00:10:20,mourasophia,DOWNLOAD,FALHA
EVT-1294,2026-05-08 23:38:20,noahcostela,COMPRA,PENDENTE
EVT-1295,2026-05-02 05:14:20,limaisadora,CADASTRO,FALHA
EVT-1296,2026-04-27 05:31:20,alanacampos,ALTERACAO_DADOS,PENDENTE
EVT-1297,2026-05-05 08:51:20,da-cruzcatarina,CADASTRO,PENDENTE
EVT-1298,2026-04-15 01:59:20,aragaofernando,DOWNLOAD,PENDENTE
EVT-1299,2026-04-25 03:13:20,yalmeida,ALTERACAO_DADOS,FALHA
EVT-1300,2026-05-07 03:28:20,sabrina78,COMPRA,FALHA
EVT-1301,2026-04-13 16:51:20,sophiaazevedo,RESET_SENHA,SUCESSO
EVT-1302,2026-05-11 14:14:20,pda-cruz,COMPRA,SUCESSO
EVT-1303,2026-04-26 04:25:20,sfogaca,ERRO_API,PENDENTE
EVT-1304,2026-04-18 14:28:20,lucas-gabriel82,RESET_SENHA,SUCESSO
EVT-1305,2026-04-17 21:17:20,theo77,UPLOAD,SUCESSO
EVT-1306,2026-04-24 08:32:20,samuel76,DOWNLOAD,FALHA
EVT-1307,2026-04-22 19:28:20,garaujo,PAGAMENTO,FALHA
EVT-1308,2026-04-26 07:26:20,isaacda-conceicao,UPLOAD,SUCESSO
EVT-1309,2026-04-30 02:45:20,arodrigues,ALTERACAO_DADOS,FALHA
EVT-1310,2026-04-20 12:12:20,danilo38,LOGOUT,FALHA
EVT-1311,2026-05-06 08:58:20,maria-sophia22,DOWNLOAD,FALHA
EVT-1312,2026-04-10 00:09:20,jlima,DOWNLOAD,SUCESSO
EVT-1313,2026-05-04 17:40:20,da-mataevelyn,RESET_SENHA,FALHA
EVT-1314,2026-04-17 14:40:20,mcampos,ERRO_API,FALHA
EVT-1315,2026-05-01 21:49:20,samuel04,LOGIN,FALHA
EVT-1316,2026-05-01 18:04:20,csilva,CADASTRO,PENDENTE
EVT-1317,2026-04-19 22:52:20,mariarocha,COMPRA,PENDENTE
EVT-1318,2026-04-12 09:32:20,leticiaoliveira,ERRO_API,SUCESSO
EVT-1319,2026-05-03 21:26:20,theo42,LOGOUT,FALHA
EVT-1320,2026-04-30 23:20:20,cmendes,DOWNLOAD,FALHA
EVT-1321,2026-05-06 08:11:20,benjamin53,PAGAMENTO,FALHA
EVT-1322,2026-04-19 07:39:20,nnovaes,LOGOUT,SUCESSO
EVT-1323,2026-04-15 08:26:20,fogacaisabella,ERRO_API,PENDENTE
EVT-1324,2026-05-09 01:26:20,dmendes,DOWNLOAD,SUCESSO
EVT-1325,2026-04-09 01:58:20,gustavoda-rocha,ERRO_API,SUCESSO
EVT-1326,2026-05-12 01:46:20,valentinaduarte,LOGOUT,SUCESSO
EVT-1327,2026-04-23 01:49:20,ocavalcanti,PAGAMENTO,FALHA
EVT-1328,2026-04-27 04:06:20,apereira,LOGIN,FALHA
EVT-1329,2026-04-12 12:58:20,thalesda-rosa,COMPRA,SUCESSO
EVT-1330,2026-05-13 08:26:20,odas-neves,LOGIN,FALHA
EVT-1331,2026-04-29 08:37:20,qteixeira,RESET_SENHA,PENDENTE
EVT-1332,2026-04-17 17:04:20,diasmarina,PAGAMENTO,FALHA
EVT-1333,2026-04-25 03:30:20,oliveiracaue,ALTERACAO_DADOS,PENDENTE
EVT-1334,2026-05-12 12:13:20,alvesluiza,RESET_SENHA,PENDENTE
EVT-1335,2026-04-13 13:44:20,leandro28,RESET_SENHA,PENDENTE
